"Барнаул" "Новосибирск" 233
"Новосибирск" "Барнаул" 233
"Москва" "Тверь" 156
"Москва" "Ярославль" 246
"Москва" "Владимир" 184
"Москва" "Воронеж" 462
"Москва" "Тула" 171
"Москва" "Калуга" 157
"Москва" "Смоленск" 363
"Тверь" "Москва" 156
"Тверь" "Великий Новогород" 323
"Великий Новогород" "Тверь" 323
"Великий Новогород" "Санкт-Петербург" 151
"Санкт-Петербург" "Великий Новогород" 151
"Санкт-Петербург" "Вологда" 545
"Ярославль" "Москва" 246
"Ярославль" "Вологда" 174
"Ярославль" "Иваново" 100
"Вологда" "Санкт-Петербург" 545
"Вологда" "Ярославль" 174
"Владимир" "Москва" 184
"Владимир" "Иваново" 83
"Владимир" "Нижний Новгород" 224
"Владимир" "Резань" 192
"Иваново" "Ярославль" 100
"Иваново" "Владимир" 83
"Нижний Новгород" "Владимир" 224
"Нижний Новгород" "Чебоксары" 209
"Нижний Новгород" "Саранск" 217
"Чебоксары" "Нижний Новгород" 209
"Чебоксары" "Казань" 116
"Казань" "Чебоксары" 116
"Казань" "Ульяновск" 180
"Ульяновск" "Казань" 180
"Ульяновск" "Самара" 157
"Ульяновск" "Пенза" 251
"Самара" "Ульяновск" 157
"Самара" "Пенза" 342
"Пенза" "Ульяновск" 251
"Пенза" "Самара" 342
"Пенза" "Саранск" 111
"Пенза" "Саратов" 208
"Пенза" "Резань" 382
"Саранск" "Нижний Новгород" 217
"Саранск" "Пенза" 111
"Саратов" "Пенза" 208
"Саратов" "Волгоград" 335
"Саратов" "Воронеж" 462
"Волгоград" "Саратов" 335
"Воронеж" "Москва" 462
"Воронеж" "Саратов" 462
"Воронеж" "Курск" 212
"Курск" "Воронеж" 212
"Курск" "Орёл" 135
"Орёл" "Курск" 135
"Орёл" "Тула" 174
"Тула" "Москва" 171
"Тула" "Орёл" 174
"Резань" "Владимир" 192
"Резань" "Пенза" 382
"Калуга" "Москва" 157
"Калуга" "Брянск" 171
"Брянск" "Калуга" 171
"Смоленск" "Москва" 363
